StudentID,SchoolCode,ClassRank,ClassSize,ClassRank1012,GPA_CumulativeAcademic,GPA_CumulativeTotal,GPA_CumulativeAcademic1012,GPA_CumulativeAcademicNonWeighted,GPA_CumulativeTotalNonWeighted,GPA_CumulativeAcademic1012NonWeighted,GradePointsCumulative,GPA_UC_Preliminary,GPA_CSU_Preliminary,GPA_CumulativeCitizenship,GPA_GradeReportingCitizenship,CreditsAttempted,CreditsCompleted,GPA_GradeReportingAcademic,GPA_GradeReportingTotal,GPA_GradeReportingAcademicNonWeighted,GPA_GradeReportingTotalNonWeighted,GradeReportingClassRank,GradeReportingClassSize,GradeReportingCreditsAttempted,GradeReportingCreditsCompleted,AcademicYear,ExtractedAt
45693,16,144,225,1,2.95,2.95,0.0,2.95,2.95,0.0,7.08,0.0,0.0,0.0,0.0,17.0,17.0,2.25,2.25,2.25,2.25,213,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
45695,16,50,225,1,3.925,3.925,0.0,3.925,3.925,0.0,9.42,0.0,0.0,0.0,0.0,21.0,21.0,3.925,3.925,3.925,3.925,84,226,7.0,7.0,2020-2021,2026-02-22T00:16:12.625272
45689,16,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
44527,16,223,225,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
44971,16,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
45482,16,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
45734,16,208,219,1,2.25,2.25,0.0,2.25,2.25,0.0,6.3,0.0,0.0,0.0,0.0,18.0,18.0,1.7833,1.7833,1.7833,1.7833,218,227,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
45737,16,144,219,1,3.5167,3.5167,0.0,3.5167,3.5167,0.0,12.66,0.0,0.0,0.0,0.0,18.0,18.0,3.6,3.6,3.6,3.6,116,227,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
45739,16,174,226,1,3.2824,3.2824,0.0,3.2824,3.2824,0.0,11.16,0.0,0.0,0.0,0.0,18.0,18.0,3.4,3.4,3.4,3.4,135,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
45740,16,58,225,1,3.9357,3.9357,0.0,3.9357,3.9357,0.0,11.02,0.0,0.0,0.0,0.0,17.0,17.0,4.0,4.0,4.0,4.0,1,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
45741,16,108,225,1,3.7333,3.7333,0.0,3.7333,3.7333,0.0,8.96,0.0,0.0,0.0,0.0,18.0,18.0,3.85,3.85,3.85,3.85,100,226,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
45744,16,224,226,1,3.0,3.0,0.0,3.0,3.0,0.0,1.2,0.0,0.0,0.0,0.0,21.0,19.0,3.0,3.0,3.0,3.0,163,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
45745,16,217,226,1,2.5625,2.5625,0.0,2.5625,2.5625,0.0,4.1,0.0,0.0,0.0,0.0,15.0,11.0,3.85,3.85,3.85,3.85,87,224,3.0,3.0,2020-2021,2026-02-22T00:16:12.625272
45746,16,165,225,1,2.68,2.68,0.0,2.68,2.68,0.0,8.04,0.0,0.0,0.0,0.0,15.0,15.0,2.0,2.0,2.0,2.0,217,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
45747,16,198,225,1,2.8444,2.8444,0.0,2.8444,2.8444,0.0,5.12,0.0,0.0,0.0,0.0,17.0,17.0,3.35,3.35,3.35,3.35,161,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
45757,16,0,0,1,2.0,2.0,0.0,2.0,2.0,0.0,1.6,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
45762,16,212,225,1,2.0909,2.0909,0.0,2.0909,2.0909,0.0,4.6,0.0,0.0,0.0,0.0,16.0,13.0,2.34,2.34,2.34,2.34,208,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
45765,16,205,225,1,2.3667,2.3667,0.0,2.3667,2.3667,0.0,5.68,0.0,0.0,0.0,0.0,17.0,17.0,2.675,2.675,2.675,2.675,197,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
43501,16,204,225,1,2.4125,2.4125,0.0,2.4125,2.4125,0.0,3.86,0.0,0.0,0.0,0.0,18.0,14.0,2.575,2.575,2.575,2.575,201,226,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
